,aggregatable,aiPredictionField,autoNumber,byteLength,calculated,calculatedFormula,cascadeDelete,caseSensitive,compoundFieldName,controllerName,createable,custom,defaultValue,defaultValueFormula,defaultedOnCreate,dependentPicklist,deprecatedAndHidden,digits,displayLocationInDecimal,encrypted,externalId,extraTypeInfo,filterable,filteredLookupInfo,formulaTreatNullNumberAsZero,groupable,highScaleNumber,htmlFormatted,idLookup,inlineHelpText,label,length,mask,maskType,name,nameField,namePointing,nillable,permissionable,picklistValues,polymorphicForeignKey,precision,queryByDistance,referenceTargetField,referenceTo,relationshipName,relationshipOrder,requiredOnCreate,restrictedDelete,restrictedPicklist,scale,searchPrefilterable,soapType,sobject,sortable,type,unique,updateable,writeRequiresMasterRead
AccountId,True,False,False,18,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Account ID,18,,,AccountId,False,False,True,False,[],False,0,False,,['Account'],Account,,False,False,False,0,True,tns:ID,Task,True,reference,False,False,False
ActivityDate,False,False,False,0,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Due Date Only,0,,,ActivityDate,False,False,True,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:date,Task,True,date,False,True,False
CallDisposition,True,False,False,765,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Call Result,255,,,CallDisposition,False,False,True,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:string,Task,True,string,False,True,False
CallDurationInSeconds,True,False,False,0,False,,False,False,,,True,False,,,False,False,False,8,False,False,False,,True,,False,True,False,False,False,,Call Duration,0,,,CallDurationInSeconds,False,False,True,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:int,Task,True,int,False,True,False
CallObject,True,False,False,765,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Call Object Identifier,255,,,CallObject,False,False,True,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:string,Task,True,string,False,True,False
CallType,True,False,False,120,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,,True,,False,True,False,False,False,,Call Type,40,,,CallType,False,False,True,False,"[{'active': True, 'defaultValue': False, 'label': 'Internal', 'validFor': None, 'value': 'Internal'}, {'active': True, 'defaultValue': False, 'label': 'Inbound', 'validFor': None, 'value': 'Inbound'}, {'active': True, 'defaultValue': False, 'label': 'Outbound', 'validFor': None, 'value': 'Outbound'}]",False,0,False,,[],,,False,False,True,0,False,xsd:string,Task,True,picklist,False,True,False
CompletedDateTime,True,False,False,0,False,,False,False,,,False,False,,,False,False,False,0,False,False,False,,True,,False,False,False,False,False,,Completed Date/Time,0,,,CompletedDateTime,False,False,True,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:dateTime,Task,True,datetime,False,False,False
CreatedById,True,False,False,18,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,True,False,False,False,,Created By ID,18,,,CreatedById,False,False,False,False,[],False,0,False,,['User'],CreatedBy,,False,False,False,0,False,tns:ID,Task,True,reference,False,False,False
CreatedDate,True,False,False,0,False,,False,False,,,False,False,,,True,False,False,0,False,False,False,,True,,False,False,False,False,False,,Created Date,0,,,CreatedDate,False,False,False,False,[],False,0,False,,[],,,False,False,False,0,False,xsd:dateTime,Task,True,datetime,False,False,False
Description,False,False,False,96000,False,,False,False,,,True,False,,,False,False,False,0,False,False,False,plaintextarea,False,,False,False,False,False,False,,Description,32000,,,Description,False,False,True,True,[],False,0,False,,[],,,False,False,False,0,False,xsd:string,Task,False,textarea,False,True,False
