Schema,Object Type,Object Name,Parent Object Type,Parent Object Name,Row Count,Comment,Data Type,Length,Primary Key,Precision,Scale,Nulls Allowed,Columns,Code,Unique,Foreign Key Name,Reference Model,Reference Table,Reference Column
EDA,Column,Priority,Table,Task,,Picklist Items: High - High/Normal - Normal/Low - Low,picklist,20.0,,,,False,,,,,,,
EDA,Column,RecurrenceActivityId,Table,Task,,,reference,18.0,,,,True,,,,,EDA,Task,Id
EDA,Column,RecurrenceDayOfMonth,Table,Task,,,int,0.0,,,,True,,,,,,,
EDA,Column,RecurrenceDayOfWeekMask,Table,Task,,,int,0.0,,,,True,,,,,,,
EDA,Column,RecurrenceEndDateOnly,Table,Task,,,date,0.0,,,,True,,,,,,,
EDA,Column,RecurrenceInstance,Table,Task,,Picklist Items: 1st - First/2nd - Second/3rd - Third/4th - Fourth/last - Last,picklist,40.0,,,,True,,,,,,,
EDA,Column,RecurrenceInterval,Table,Task,,,int,0.0,,,,True,,,,,,,
EDA,Column,RecurrenceMonthOfYear,Table,Task,,Picklist Items: January - January/February - February/March - March/April - April/May - May/June - June/July - July/August - August/September - September/October - October/November - November/December - December,picklist,40.0,,,,True,,,,,,,
EDA,Column,RecurrenceRegeneratedType,Table,Task,,Picklist Items: After due date - RecurrenceRegenerateAfterDueDate/After date completed - RecurrenceRegenerateAfterToday/(Task Closed) - RecurrenceRegenerated,picklist,40.0,,,,True,,,,,,,
EDA,Column,RecurrenceStartDateOnly,Table,Task,,,date,0.0,,,,True,,,,,,,
EDA,Column,RecurrenceTimeZoneSidKey,Table,Task,,Picklist Items: 100+ values,picklist,40.0,,,,True,,,,,,,
EDA,Column,RecurrenceType,Table,Task,,Picklist Items: Recurs Daily - RecursDaily/Recurs Every Weekday - RecursEveryWeekday/Recurs Monthly - RecursMonthly/Recurs Monthly Nth - RecursMonthlyNth/Recurs Weekly - RecursWeekly/Recurs Yearly - RecursYearly/Recurs Yearly Nth - RecursYearlyNth,picklist,40.0,,,,True,,,,,,,
EDA,Column,ReminderDateTime,Table,Task,,,datetime,0.0,,,,True,,,,,,,
EDA,Column,Status,Table,Task,,Picklist Items: Not Started - Not Started/In Progress - In Progress/Completed - Completed/Waiting on someone else - Waiting on someone else/Deferred - Deferred,picklist,255.0,,,,False,,,,,,,
EDA,Column,Subject,Table,Task,,,combobox,255.0,,,,True,,,,,,,
EDA,Column,SystemModstamp,Table,Task,,,datetime,0.0,,,,False,,,,,,,
EDA,Column,TaskSubtype,Table,Task,,Picklist Items: Task - Task/Email - Email/List Email - ListEmail/Cadence - Cadence/Call - Call,picklist,40.0,,,,True,,,,,,,
EDA,Column,WhatId,Table,Task,,,reference,18.0,,,,True,,,,What,EDA,Contact,Id
EDA,Column,WhoId,Table,Task,,,reference,18.0,,,,True,,,,Who,EDA,Contact,Id
